Date,HStart,HEnd,Matière,Type,Location,Groupe,Enseignant,,,,,,,
2023-11-14:,15:30:00,17:30:00,Soutien math/info,,"B6,A5bis",1ATDC,,(Updated,13/11/2023 16,55),,,,
2023-11-27:,14:30:00,16:30:00,Anglais1,TP4,Labo multimédia A105,1ATP4,GORDON NATHALIE,,(Updated,13/11/2023 13,03),,,
2023-11-17:,15:00:00,16:00:00,Soutien Télécoms,,"B3,A8",1ATDA,CAPALLERA FLORENCE,,(Updated,15/11/2023 16,04),,,
2023-11-29:,09:00:00,11:00:00,Prog1,TP2,B8,1ATP2,ZAYENE MARIEM,,(Updated,20/11/2023 10,42),,,
2024-01-18:,09:00:00,11:00:00,Math-Trans1,TDA,B3,1ATDA,COURSIMAULT DAVID,,(Updated,19/12/2023 12,34),,,
2023-11-13:,12:30:00,14:30:00,SAE13,TDC,B1bis,1ATDC,COURSIMAULT DAVID,,(Updated,13/11/2023 16,52),,,
2023-09-22:,06:00:00,08:00:00,Math-Signal1,TDC,A5,1ATDC,BOUAYED AYMENE,,(Updated,10/10/2023 11,17),,,
2023-10-09:,06:00:00,07:00:00,Math-Signal1,Cours,A5-A5bis,1A,COURSIMAULT DAVID,,(Updated,25/09/2023 16,25),,,
2023-11-24:,15:30:00,16:30:00,Soutien Télécoms,,"C5,A8",1ATDA,CAPALLERA FLORENCE,,(Updated,15/11/2023 16,11),,,
2023-11-17:,07:00:00,09:00:00,Syst1,TP5,C5,1ATP5,JACQUET FREDERIQUE,,(Updated,24/10/2023 13,48),,,
2023-10-06:,13:30:00,15:30:00,Soutien math/info,,"B6,A5bis",1ATDB,,(Updated,28/09/2023 13,58),,,,
2023-09-13:,14:00:00,16:00:00,Telecom1,TDC,A5bis,1ATDC,CAPALLERA FLORENCE,,(Updated,08/09/2023 17,34),,,
2023-11-08:,09:00:00,11:00:00,Prog1,TP4,B6,1ATP4,PERRIOT ROMAIN,,(Updated,06/11/2023 16,35),,,
2023-10-06:,11:00:00,14:00:00,Init-Rés1,TP5,C7,1ATP5,FREITAS ANTONIO,,(Updated,28/09/2023 13,57),,,
2024-01-23:,12:00:00,15:00:00,SAE13,TP3,C1,1ATP3,CAPALLERA FLORENCE,,(Updated,27/11/2023 15,49),,,
2023-10-05:,08:00:00,10:00:00,Syst1,TP1,B3,1ATP1,WEZL MICHAEL,,(Updated,25/08/2023 12,32),,,
2023-11-30:,07:00:00,09:00:00,Com1,TP2,B7,1ATP2,GIRAUD NADINE,,(Updated,23/11/2023 10,34),,,
2023-09-29:,06:00:00,08:00:00,Math-Signal1,TDA,A8,1ATDA,MATAR HOUSSEIN,,(Updated,25/09/2023 11,14),,,
2023-11-16:,12:30:00,14:30:00,Com1,TP4,B7,1ATP4,GIRAUD NADINE,,(Updated,16/10/2023 19,01),,,
2024-01-15:,17:00:00,18:00:00,SAE14,TP2,B7,1ATP2,HABACHI OUSSAMA,,(Updated,18/12/2023 10,41),,,
2023-10-20:,07:00:00,10:00:00,Init-Rés1,TP4,C1bis,1ATP4,FREITAS ANTONIO,,(Updated,28/09/2023 11,00),,,
2023-11-24:,14:30:00,15:30:00,Soutien Télécoms,,"C5,A8",1ATDA,CAPALLERA FLORENCE,,(Updated,15/11/2023 16,08),,,
2023-11-24:,09:00:00,11:00:00,SAE15,TDC-PT,"A5bis,A5",1ATDC,,(Updated,20/11/2023 10,05),,,,
2023-12-06:,12:30:00,14:30:00,Gest_projet,TDA,A5bis,1ATDA,MAYET KARINE,,(Updated,20/11/2023 10,28),,,
2023-11-16:,12:30:00,14:30:00,Math-Trans1,TDC,A6,1ATDC,BOUAYED AYMENE,,(Updated,12/11/2023 17,57),,,
2023-11-08:,07:00:00,09:00:00,Syst1,TP4,B3,1ATP4,WEZL MICHAEL,,(Updated,07/11/2023 16,48),,,
2023-12-21:,14:30:00,16:30:00,Anglais1,TP5,Labo multimédia A105,1ATP5,GORDON NATHALIE,,(Updated,03/12/2023 13,21),,,
2023-10-05:,13:30:00,15:30:00,Anglais1,TDC,"B2,Labo multimédia A109",1ATDC,BEIGNON D AGOSTINO LAURE,,(Updated,06/10/2023 18,42),,,
2023-10-24:,08:00:00,10:00:00,Anglais1,TP2,B2,1ATP2,BEIGNON D AGOSTINO LAURE,,(Updated,10/10/2023 13,22),,,
2023-09-22:,14:00:00,16:00:00,Soutien math/info,,"A6,B8",1ATDC,,(Updated,18/09/2023 17,54),,,,
2023-12-12:,07:00:00,09:00:00,SAE14,TDB-PT,"B3,C1bis",1ATDB,,(Updated,09/11/2023 16,42),,,,
2023-12-05:,10:00:00,11:00:00,RLAN1,Cours,A5-A5bis,1A,FREITAS ANTONIO,,(Updated,09/11/2023 12,52),,,
2023-12-01:,15:00:00,17:00:00,Soutien math/info,,"C5,A5",1ATDC,,(Updated,27/11/2023 15,35),,,,
2024-01-18:,08:00:00,11:00:00,RLAN1,TP3,C1bis,1ATP3,HERNANDEZ SEBASTIEN,,(Updated,27/11/2023 14,59),,,
2024-01-18:,12:30:00,14:30:00,SAE15,TP3,C5,1ATP3,PERRIOT ROMAIN,,(Updated,09/01/2024 15,59),,,
2023-12-05:,09:00:00,10:00:00,RLAN1,Cours,A5-A5bis,1A,FREITAS ANTONIO,,(Updated,09/11/2023 12,52),,,
2023-12-13:,15:30:00,18:30:00,Archi-Rés1,TP1,C1bis,1ATP1,BROS LAURENT,,(Updated,09/11/2023 11,22),,,
2024-02-01:,12:30:00,14:30:00,Prog2,TDB,B3,1ATDB,HABACHI OUSSAMA,,(Updated,09/01/2024 10,00),,,
2023-10-17:,11:30:00,13:30:00,Anglais1,TP2,B2,1ATP2,BEIGNON D AGOSTINO LAURE,,(Updated,28/09/2023 11,31),,,
2023-10-02:,11:30:00,13:30:00,Math-Signal1,TDC,A6,1ATDC,BOUAYED AYMENE,,(Updated,10/10/2023 11,17),,,
2023-09-21:,06:00:00,08:00:00,Telecom1,TDC,A8,1ATDC,CAPALLERA FLORENCE,,(Updated,11/09/2023 16,34),,,
2023-09-19:,08:00:00,09:00:00,SAE12,Cours,A5-A5bis,1A,HERNANDEZ SEBASTIEN,,(Updated,11/07/2023 17,09),,,
2024-01-22:,12:30:00,14:30:00,SAE15,TP5,B8,1ATP5,HAYEK FREDERIC,,(Updated,13/12/2023 11,42),,,
2023-11-08:,09:00:00,11:00:00,Syst1,TP1,B3,1ATP1,WEZL MICHAEL,,(Updated,07/11/2023 16,48),,,
2023-12-12:,07:00:00,09:00:00,Anglais1,TP1,B2,1ATP1,BEIGNON D AGOSTINO LAURE,,(Updated,06/12/2023 09,47),,,
2023-12-11:,09:00:00,10:00:00,Math-Trans1,Cours,A5-A5bis,1A,COURSIMAULT DAVID,,(Updated,25/10/2023 11,49),,,
2023-11-16:,07:00:00,09:00:00,Syst1,TP3,C5,1ATP3,JACQUET FREDERIQUE,,(Updated,24/10/2023 13,50),,,
2023-12-11:,12:30:00,14:30:00,SAE12,TDB,B8,1ATDB,FREITAS ANTONIO,,(Updated,09/11/2023 16,28),,,
2023-11-23:,07:00:00,08:00:00,Soutien Télécoms,,"B3,A5",1ATDB,CAPALLERA FLORENCE,,(Updated,15/11/2023 16,08),,,
2023-10-26:,11:30:00,13:30:00,SAE12,TDC-PT,"C5,B3",1ATDC,,(Updated,10/10/2023 18,18),,,,
2023-09-29:,12:00:00,14:00:00,PPP1,TDC,B7,1ATDC,MAYET KARINE,,(Updated,20/11/2023 10,41),,,
2023-12-20:,12:00:00,15:00:00,SAE13,TP1,C1,1ATP1,CAPALLERA FLORENCE,,(Updated,20/11/2023 10,36),,,
2024-01-31:,09:00:00,11:00:00,Prog2,TDA,B3,1ATDA,ZAYENE MARIEM,,(Updated,08/01/2024 18,25),,,
2024-01-15:,14:30:00,16:30:00,SAE15,TDC,B3,1ATDC,HABACHI OUSSAMA,,(Updated,20/12/2023 10,00),,,
2023-09-27:,08:00:00,10:00:00,Archi-Sys1,TDA,A5bis,1ATDA,JACQUET JEAN-PAUL,,(Updated,26/09/2023 13,24),,,
2023-10-09:,08:00:00,10:00:00,Prog1,TP5,B6,1ATP5,SIGURET ARNAUD,,(Updated,25/09/2023 17,11),,,
2024-01-17:,12:00:00,15:00:00,RLAN1,TP2,C1bis,1ATP2,FREITAS ANTONIO,,(Updated,27/11/2023 15,27),,,
2024-01-08:,14:30:00,16:30:00,SAE12,TDB-PT,"B3,C1bis",1ATDB,,(Updated,19/12/2023 11,52),,,,
2023-12-20:,09:00:00,11:00:00,SAE14,TDB-PT,"B3,C7",1ATDB,,(Updated,09/11/2023 17,15),,,,
2023-11-10:,08:00:00,11:00:00,Init-Rés1,TP4,C7,1ATP4,FREITAS ANTONIO,,(Updated,28/09/2023 11,01),,,
2023-10-13:,08:00:00,10:00:00,Syst1,TP5,C5,1ATP5,JACQUET FREDERIQUE,,(Updated,25/09/2023 16,57),,,
2023-10-16:,13:30:00,15:30:00,Com1,TDA,B7,1ATDA,GIRAUD NADINE,,(Updated,28/09/2023 11,26),,,
2024-01-18:,12:30:00,14:30:00,Math-Trans1,TDC,B3,1ATDC,MATAR HOUSSEIN,,(Updated,19/12/2023 12,32),,,
2023-10-17:,08:00:00,10:00:00,Syst1,TDB,B3,1ATDB,JACQUET FREDERIQUE,,(Updated,28/09/2023 11,09),,,
2024-01-30:,12:30:00,14:30:00,Prog2,TDB,B3,1ATDB,HABACHI OUSSAMA,,(Updated,08/01/2024 18,27),,,
2023-12-21:,08:00:00,11:00:00,Archi-Sys1 Exam,TP4,C5,1ATP4,PERRIOT ROMAIN,,(Updated,09/11/2023 17,18),,,
2023-10-05:,13:30:00,15:30:00,Prog1,TP4,C5,1ATP4,PERRIOT ROMAIN,,(Updated,03/10/2023 11,32),,,
2023-11-21:,12:00:00,15:00:00,Init-Rés1 Exam,TP5,B8,1ATP5,FREITAS ANTONIO,,(Updated,13/11/2023 17,36),,,
2023-11-15:,07:00:00,09:00:00,Prog1,TP2,B8,1ATP2,ZAYENE MARIEM,,(Updated,24/10/2023 13,48),,,
2023-10-18:,06:00:00,08:00:00,Com1,TDC,B7,1ATDC,GIRAUD NADINE,,(Updated,28/09/2023 11,27),,,
2023-10-04:,06:00:00,08:00:00,SAE12,TP3,C7,1ATP3,FREITAS ANTONIO,,(Updated,03/10/2023 11,00),,,
2023-11-07:,12:30:00,14:30:00,Math-Signal1,TDC,A5bis,1ATDC,BOUAYED AYMENE,,(Updated,25/10/2023 11,43),,,
2023-11-21:,08:00:00,11:00:00,Archi-Sys1,TP4,C7,1ATP4,PERRIOT ROMAIN,,(Updated,31/10/2023 18,33),,,
2023-11-20:,09:00:00,11:00:00,SAE15,TDA,B3,1ATDA,JACQUET FREDERIQUE,,(Updated,09/11/2023 10,22),,,
2023-12-20:,12:30:00,14:30:00,SAE15,TDB-PT,"B3,C1bis",1ATDB,,(Updated,19/12/2023 11,23),,,,
2023-10-04:,12:00:00,14:00:00,Init-Rés1,TDA,B3,1ATDA,FREITAS ANTONIO,,(Updated,25/09/2023 13,01),,,
2023-12-07:,12:30:00,14:30:00,SAE14,TDB-PT,"B3,B4",1ATDB,,(Updated,09/11/2023 16,02),,,,
2024-01-30:,12:30:00,14:30:00,Anglais2,TDA,,1ATDA,GORDON NATHALIE,,(Updated,08/01/2024 18,27),,,
2023-11-22:,15:00:00,18:00:00,Init-Rés1 Exam,TP2,C1bis,1ATP2,HERNANDEZ SEBASTIEN,,(Updated,16/10/2023 18,25),,,
2023-10-18:,08:00:00,10:00:00,Web1,TDC,C5,1ATDC,PERRIOT ROMAIN,,(Updated,28/09/2023 11,27),,,
2023-10-26:,08:00:00,10:00:00,Prog1,TP5,B1bis,1ATP5,SIGURET ARNAUD,,(Updated,11/10/2023 20,09),,,
2023-12-18:,12:30:00,15:30:00,SAE13,TP2,C1,1ATP2,CAPALLERA FLORENCE,,(Updated,09/11/2023 17,17),,,
2023-11-28:,12:00:00,15:00:00,Archi-Rés1,TP2,C1bis,1ATP2,HERNANDEZ SEBASTIEN,,(Updated,09/11/2023 11,25),,,
2024-01-16:,08:00:00,11:00:00,RLAN1,TP5,C1bis,1ATP5,CHEBBI SAMAR,,(Updated,27/11/2023 15,41),,,
2023-12-11:,15:00:00,17:00:00,Anglais1,TP5,Labo multimédia A105,1ATP5,GORDON NATHALIE,,(Updated,03/12/2023 13,21),,,
2023-12-15:,09:00:00,11:00:00,PPP1,TDB,B7,1ATDB,GIRAUD NADINE,,(Updated,20/11/2023 10,18),,,
2023-10-26:,08:00:00,10:00:00,Prog1,TP3,B3,1ATP3,ZAYENE MARIEM,,(Updated,10/10/2023 18,34),,,
2023-11-13:,14:30:00,16:30:00,Anglais1,TP1,Labo multimédia A105,1ATP1,GORDON NATHALIE,,(Updated,21/10/2023 13,33),,,
2023-11-30:,08:00:00,11:00:00,Archi-Rés1,TP5,B8,1ATP5,FREITAS ANTONIO,,(Updated,09/11/2023 11,26),,,
2023-12-12:,10:00:00,11:00:00,RLAN1,Cours,A5-A5bis,1A,FREITAS ANTONIO,,(Updated,09/11/2023 12,52),,,
2023-11-14:,09:00:00,11:00:00,Math-Signal1,Examen,AMPHI B,1A,COURSIMAULT DAVID,,(Updated,09/11/2023 12,45),,,
2023-11-14:,12:30:00,14:30:00,SAE12,TDA-PT,"C5,B6",1ATDA,,(Updated,31/10/2023 17,59),,,,
2024-01-16:,15:00:00,18:00:00,Archi-Rés1 Exam,TP3,C1bis,1ATP3,DELOS HUGO,,(Updated,27/11/2023 14,54),,,
2023-11-14:,12:30:00,15:30:00,Init-Rés1,TP5,C1bis,1ATP5,FREITAS ANTONIO,,(Updated,16/10/2023 19,04),,,
2023-11-28:,09:30:00,10:30:00,Elec1,Examen,A5-A5bis,1A,CAPALLERA FLORENCE,,(Updated,15/11/2023 15,53),,,
2023-12-12:,09:00:00,10:00:00,RLAN1,Cours,A5-A5bis,1A,FREITAS ANTONIO,,(Updated,09/11/2023 12,52),,,
2023-11-07:,12:30:00,14:30:00,Anglais1,TP2,B2,1ATP2,BEIGNON D AGOSTINO LAURE,,(Updated,29/10/2023 18,04),,,
2023-12-20:,07:00:00,09:00:00,Anglais1,TP4,Labo multimédia A109,1ATP4,GORDON NATHALIE,,(Updated,20/12/2023 11,38),,,
2023-11-23:,09:00:00,11:00:00,SAE15,TDC,C5,1ATDC,JACQUET FREDERIQUE,,(Updated,14/11/2023 14,29),,,
2023-10-13:,11:30:00,12:30:00,Telecom1,Examen,Salle examen MPC003,1A,CAPALLERA FLORENCE,,(Updated,25/09/2023 16,55),,,
2023-12-15:,13:00:00,15:00:00,PPP1,TDC,B2,1ATDC,MAYET KARINE,,(Updated,20/11/2023 10,50),,,
2023-10-23:,13:30:00,15:30:00,Syst1,TP5,C5,1ATP5,JACQUET FREDERIQUE,,(Updated,10/10/2023 18,40),,,
2024-01-10:,15:30:00,18:30:00,Archi-Rés1,TP1,B8,1ATP1,BROS LAURENT,,(Updated,09/11/2023 11,22),,,
2023-10-05:,13:30:00,15:30:00,SAE11,TDA-PT,"B3,A8",1ATDA,,(Updated,29/09/2023 18,22),,,,
2023-10-11:,08:00:00,10:00:00,Archi-Sys1,TDA,A5bis,1ATDA,JACQUET JEAN-PAUL,,(Updated,07/07/2023 13,05),,,
2023-11-22:,09:00:00,11:00:00,SAE15,TP1-Bash,B3,1ATP1,WEZL MICHAEL,,(Updated,27/11/2023 16,13),,,
2023-09-15:,11:30:00,13:30:00,Math-Signal1,TDA,A5bis,1ATDA,MATAR HOUSSEIN,,(Updated,25/09/2023 11,14),,,
2023-10-25:,13:30:00,14:30:00,SAE11,TP3,B8,1ATP3,JACQUET FREDERIQUE,,(Updated,10/10/2023 13,36),,,
2023-12-15:,09:00:00,11:00:00,SAE12,TDC,C5,1ATDC,HERNANDEZ SEBASTIEN,,(Updated,27/11/2023 12,49),,,
2023-11-17:,12:00:00,14:00:00,Math-Trans1,TDB,A5,1ATDB,BENGANA FAYCAL,,(Updated,25/10/2023 11,37),,,
2023-11-22:,12:30:00,14:30:00,Archi-Rés1,TDB,B8,1ATDB,FREITAS ANTONIO,,(Updated,15/11/2023 12,30),,,
2023-12-14:,12:30:00,14:30:00,Anglais1,TP2,Labo multimédia A105,1ATP2,GORDON NATHALIE,,(Updated,13/11/2023 13,03),,,
2023-10-13:,06:00:00,08:00:00,SAE11,TDB,B7,1ATDB,GIRAUD NADINE,,(Updated,03/10/2023 17,51),,,
2023-11-06:,12:30:00,14:30:00,Elec1,TDB,A5bis,1ATDB,CAPALLERA FLORENCE,,(Updated,13/10/2023 11,32),,,
2023-12-19:,12:30:00,14:30:00,Prog1,TP4,C5,1ATP4,PERRIOT ROMAIN,,(Updated,19/12/2023 09,57),,,
2023-09-13:,08:00:00,09:00:00,Soutenances LPro,,B2,1ATP3,,(Updated,10/07/2023 18,32),,,,
2023-11-27:,08:00:00,11:00:00,Archi-Sys1,TP1,B6,1ATP1,PERRIOT ROMAIN,,(Updated,09/11/2023 12,27),,,
2024-01-18:,12:00:00,15:00:00,SAE13,TP1,C1,1ATP1,CAPALLERA FLORENCE,,(Updated,27/11/2023 15,48),,,
2024-01-15:,12:00:00,15:00:00,RLAN1,TP1,B8,1ATP1,CHEBBI SAMAR,,(Updated,27/11/2023 14,59),,,
2023-09-19:,09:00:00,10:00:00,Init-Rés1,Cours,A5-A5bis,1A,FREITAS ANTONIO,,(Updated,11/07/2023 17,10),,,
2023-11-29:,12:30:00,14:30:00,Init-Rés1,Examen,Salle examen MPC003,1A,FREITAS ANTONIO,,(Updated,09/11/2023 12,46),,,
2023-12-21:,07:00:00,09:00:00,Math-Trans1,TDA,A5,1ATDA,COURSIMAULT DAVID,,(Updated,09/11/2023 17,06),,,
2023-12-22:,08:00:00,11:00:00,Archi-Sys1 Exam,TP5,C5,1ATP5,PERRIOT ROMAIN,,(Updated,27/11/2023 15,23),,,
2023-09-26:,13:30:00,15:30:00,Prog1,TP5,C5,1ATP5,SIGURET ARNAUD,,(Updated,26/09/2023 12,48),,,
2024-01-23:,12:00:00,15:00:00,RLAN1 Exam,TP5,B8,1ATP5,CHEBBI SAMAR,,(Updated,27/11/2023 15,29),,,
2023-10-03:,06:00:00,08:00:00,SAE11,TDA,B7,1ATDA,GIRAUD NADINE,,(Updated,26/09/2023 12,44),,,
2023-11-10:,09:00:00,11:00:00,Syst1,TP5,C5,1ATP5,JACQUET FREDERIQUE,,(Updated,13/10/2023 11,11),,,
2023-11-17:,07:00:00,10:00:00,Init-Rés1,TP3,C7,1ATP3,Intervenant à préciser,,(Updated,20/11/2023 10,25),,,
2023-12-05:,14:30:00,16:30:00,Anglais1,TP1,B2,1ATP1,BEIGNON D AGOSTINO LAURE,,(Updated,09/11/2023 15,59),,,
2023-10-25:,11:30:00,13:30:00,SAE12,TDA-PT,"C5,B6",1ATDA,,(Updated,10/10/2023 18,45),,,,
2024-01-11:,12:00:00,15:00:00,Archi-Rés1,TP4,C7,1ATP4,FREITAS ANTONIO,,(Updated,27/11/2023 14,53),,,
2023-10-26:,06:00:00,08:00:00,Syst1,TP3,C5,1ATP3,JACQUET FREDERIQUE,,(Updated,10/10/2023 18,34),,,
2023-11-22:,09:00:00,11:00:00,SAE15,TP2-Bash,C5,1ATP2,JACQUET FREDERIQUE,,(Updated,27/11/2023 16,14),,,
2023-11-10:,08:00:00,11:00:00,Elec1,TP2,B1bis,1ATP2,CAPALLERA FLORENCE,,(Updated,13/10/2023 11,34),,,
2023-09-27:,11:30:00,13:30:00,SAE12,TP5,C1bis,1ATP5,HERNANDEZ SEBASTIEN,,(Updated,25/09/2023 12,21),,,
2023-11-28:,14:30:00,16:30:00,Gest_projet,TDC,B7,1ATDC,MAYET KARINE,,(Updated,20/11/2023 10,01),,,
2023-11-17:,12:00:00,15:00:00,Elec1,TP5,C1,1ATP5,CAPALLERA FLORENCE,,(Updated,15/11/2023 16,03),,,
2023-09-22:,06:00:00,08:00:00,SAE11,TDB,B3,1ATDB,JACQUET FREDERIQUE,,(Updated,11/09/2023 10,33),,,
2023-12-15:,09:00:00,11:00:00,SAE14,TDA-PT,"B8,C7",1ATDA,,(Updated,09/11/2023 16,42),,,,
2023-09-29:,07:00:00,10:00:00,Init-Rés1,TP4,C1bis,1ATP4,FREITAS ANTONIO,,(Updated,24/08/2023 19,04),,,
2023-11-09:,07:00:00,10:00:00,Elec1,TP4,B1bis,1ATP4,CAPALLERA FLORENCE,,(Updated,07/11/2023 17,39),,,
2023-12-12:,07:00:00,09:00:00,SAE14,TDC-PT,"C5,B4",1ATDC,,(Updated,01/12/2023 10,02),,,,
2023-11-16:,12:30:00,14:30:00,Web1,TDA,B3,1ATDA,ZAYENE MARIEM,,(Updated,16/10/2023 19,02),,,
2024-02-02:,09:00:00,10:00:00,Admin_Sys2,Cours,A5-A5bis,1A,HERNANDEZ SEBASTIEN,,(Updated,08/01/2024 18,12),,,
2023-10-12:,06:00:00,08:00:00,SAE12,TP4,C1bis,1ATP4,DELOS HUGO,,(Updated,03/10/2023 10,59),,,
2023-09-26:,08:00:00,09:00:00,Init-Rés1,Cours,A5-A5bis,1A,FREITAS ANTONIO,,(Updated,07/07/2023 11,28),,,
2023-10-06:,14:00:00,16:00:00,Soutien math/info,,"B8,A8",1ATDA,,(Updated,28/09/2023 13,58),,,,
2023-09-28:,06:00:00,08:00:00,Com1,TDB,B7,1ATDB,GIRAUD NADINE,,(Updated,24/08/2023 19,29),,,
2023-12-01:,08:00:00,11:00:00,Archi-Sys1,TP3,C7,1ATP3,PERRIOT ROMAIN,,(Updated,20/11/2023 10,14),,,
2023-10-02:,08:00:00,10:00:00,Math-Signal1,TDB,A5,1ATDB,COURSIMAULT DAVID,,(Updated,11/09/2023 15,41),,,
2023-09-22:,08:00:00,10:00:00,Init-Rés1,TDC,C5,1ATDC,FREITAS ANTONIO,,(Updated,25/09/2023 12,19),,,
2023-10-10:,08:00:00,10:00:00,Prog1,TP2,B8,1ATP2,ZAYENE MARIEM,,(Updated,03/10/2023 17,54),,,
2023-12-18:,12:30:00,15:30:00,Archi-Sys1 Exam,TP1,C5,1ATP1,PERRIOT ROMAIN,,(Updated,09/11/2023 17,17),,,
2023-12-04:,12:30:00,14:30:00,Com1,TP5,B7,1ATP5,GIRAUD NADINE,,(Updated,09/11/2023 13,00),,,
2024-01-25:,14:30:00,16:30:00,SAE15,TP3,C5,1ATP3,PERRIOT ROMAIN,,(Updated,09/01/2024 15,59),,,
2023-09-29:,11:30:00,13:30:00,SAE12,TP2,C1bis,1ATP2,ZAYENE MARIEM,,(Updated,25/09/2023 13,25),,,
2023-12-08:,08:00:00,11:00:00,Archi-Sys1,TP1,C5,1ATP1,PERRIOT ROMAIN,,(Updated,09/11/2023 12,47),,,
2023-12-11:,14:30:00,16:30:00,SAE14,TDA-PT,"B4,B3",1ATDA,,(Updated,17/11/2023 16,29),,,,
